05-10-2023 08:06:40 PMTest Tester: Account #70586 Current Balance $432.66
05-10-2023 08:18:53 PM Test Tester: Account #53967 Current Balance $140.65
05-10-2023 08:19:00 PM Test Tester: Account #53967 Current Balance $120.65
05-10-2023 08:19:28 PM Test Tester: Account #28996 Current Balance $300
05-10-2023 08:19:41 PM Test Tester: Account #28996 Current Balance $214.80
05-10-2023 08:20:07 PM Test Tester: Account #53967 Current Balance $205.85
06-10-2023 08:51:39 PM Russell: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 08:51:39 PM Russell: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 08:51:39 PM Russell: Account #123 Deposit $25 Current Balance $75
06-10-2023 08:51:39 PM Russell: Account #123 Withdraw $50 Current Balance $100
06-10-2023 08:51:39 PM Russell: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 08:51:39 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:51:39 PM Russell: Account #123 Deposit $25 Current Balance $25
06-10-2023 08:51:39 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 08:51:39 PM test: Account #123 Deposit $5000 Current Balance $5000
06-10-2023 08:51:39 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 08:51:39 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 08:51:39 PM test: Account #123 Deposit $10000 Current Balance $10000
06-10-2023 08:51:39 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 08:51:39 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 08:51:39 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 08:55:34 PM rfh ilherg: Account #13673 Deposit $123 Current Balance $123
06-10-2023 08:55:42 PM rfh ilherg: Account #13673 Deposit $123 Current Balance $246
06-10-2023 08:59:30 PM Russell: Account #123 Withdraw $30 Current Balance $170
06-10-2023 08:59:30 PM Russell: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 08:59:30 PM Russell: Account #123 Withdraw $20 Current Balance $150
06-10-2023 08:59:30 PM Russell: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 08:59:30 PM Russell: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 08:59:30 PM Russell: Account #123 Deposit $25 Current Balance $75
06-10-2023 08:59:30 PM Russell: Account #123 Withdraw $50 Current Balance $100
06-10-2023 08:59:30 PM Russell: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 08:59:30 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:59:30 PM Russell: Account #123 Deposit $25 Current Balance $25
06-10-2023 08:59:30 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 08:59:30 PM test: Account #123 Deposit $5000 Current Balance $5000
06-10-2023 08:59:30 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 08:59:30 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 08:59:30 PM test: Account #123 Deposit $10000 Current Balance $10000
06-10-2023 08:59:30 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 08:59:30 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 08:59:30 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdraw $30 Current Balance $170
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdraw $20 Current Balance $150
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 09:01:28 PM TestAccount: Account #123 Deposit $25 Current Balance $75
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdraw $50 Current Balance $100
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 09:01:28 PM TestAccount: Account #123 Withdraw $150 Current Balance $0
06-10-2023 09:01:28 PM TestAccount: Account #123 Deposit $25 Current Balance $25
06-10-2023 09:01:28 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 09:01:28 PM test: Account #123 Deposit $5000 Current Balance $5000
06-10-2023 09:01:28 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 09:01:28 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 09:01:28 PM test: Account #123 Deposit $10000 Current Balance $10000
06-10-2023 09:01:28 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 09:01:28 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 09:01:28 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 09:02:13 PM TestUser: Account #123 Withdraw $30 Current Balance $170
06-10-2023 09:02:13 PM TestUser: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 09:02:13 PM TestUser: Account #123 Withdraw $20 Current Balance $150
06-10-2023 09:02:13 PM TestUser: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 09:02:13 PM TestUser: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 09:02:13 PM TestUser: Account #123 Deposit $25 Current Balance $75
06-10-2023 09:02:13 PM TestUser: Account #123 Withdraw $50 Current Balance $100
06-10-2023 09:02:13 PM TestUser: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 09:02:13 PM TestUser: Account #123 Withdraw $150 Current Balance $0
06-10-2023 09:02:13 PM TestUser: Account #123 Deposit $25 Current Balance $25
06-10-2023 09:02:13 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 09:02:13 PM test: Account #123 Deposit $5000 Current Balance $5000
06-10-2023 09:02:13 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 09:02:13 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 09:02:13 PM test: Account #123 Deposit $10000 Current Balance $10000
06-10-2023 09:02:13 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 09:02:13 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 09:02:13 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 09:06:45 PM TestUser: Account #123 Withdraw $30 Current Balance $170
06-10-2023 09:06:45 PM TestUser: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 09:06:45 PM TestUser: Account #123 Withdraw $20 Current Balance $150
06-10-2023 09:06:45 PM TestUser: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 09:06:45 PM TestUser: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 09:06:45 PM TestUser: Account #123 Deposit $25 Current Balance $75
06-10-2023 09:06:45 PM TestUser: Account #123 Withdraw $50 Current Balance $100
06-10-2023 09:06:45 PM TestUser: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 09:06:45 PM TestUser: Account #123 Withdraw $150 Current Balance $0
06-10-2023 09:06:45 PM TestUser: Account #123 Deposit $25 Current Balance $25
06-10-2023 09:06:45 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 09:06:46 PM test: Account #123 Deposit $5000 Current Balance $5000
06-10-2023 09:06:46 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 09:06:46 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 09:06:46 PM test: Account #123 Deposit $10000 Current Balance $10000
06-10-2023 09:06:46 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 09:06:46 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 09:06:46 PM test: Account #123 Deposit $12000 Current Balance $12000
